id;date;lon;lat;level3_name;level1_name;wild_type;Species;weight;cases
B1;07/01/2022;8.64;44.620184;Ovada;Piemonte;wild;Sus scrofa;1;1
B2;14/01/2022;8.839919;44.617492;Voltaggio;Piemonte;wild;Sus scrofa;1;1
B3;14/01/2022;8.69016;44.628823;Tagliolo Monferrato;Piemonte;wild;Sus scrofa;1;1
B4;14/01/2022;8.88266;44.590246;Fraconalto;Piemonte;wild;Sus scrofa;1;1
B5;14/01/2022;8.91671;44.648372;Isola Del Cantone;Liguria;wild;Sus scrofa;1;1
B6;14/01/2022;8.842666;44.62238;Voltaggio;Piemonte;wild;Sus scrofa;1;1
B7;21/01/2022;8.858283;44.703273;Serravalle Scrivia;Piemonte;wild;Sus scrofa;1;1
B8;21/01/2022;8.725179;44.587761;Tagliolo Monferrato;Piemonte;wild;Sus scrofa;1;1
B9;21/01/2022;8.911392;44.599186;Ronco Scrivia;Liguria;wild;Sus scrofa;1;1
B10;21/01/2022;8.82962;44.617003;Voltaggio;Piemonte;wild;Sus scrofa;1;1
B11;21/01/2022;8.754007;44.57251;Lerma;Piemonte;wild;Sus scrofa;1;1
B12;21/01/2022;8.714525;44.632521;Lerma;Piemonte;wild;Sus scrofa;1;1
B13;21/01/2022;8.76259;44.572754;Lerma;Piemonte;wild;Sus scrofa;1;1
B14;21/01/2022;8.792383;44.640819;Bosio;Piemonte;wild;Sus scrofa;1;1
B15;28/01/2022;8.733306;44.523778;Campo Ligure;Liguria;wild;Sus scrofa;1;1
B16;28/01/2022;8.885699;44.637249;Isola Del Cantone;Liguria;wild;Sus scrofa;1;1
B17;28/01/2022;8.714282;44.572984;Rossiglione;Liguria;wild;Sus scrofa;1;1
B18;28/01/2022;8.70851;44.53869;Campo Ligure;Liguria;wild;Sus scrofa;1;1
B19;28/01/2022;8.710556;44.560278;Rossiglione;Liguria;wild;Sus scrofa;1;1
B20;28/01/2022;8.70849;44.538694;Campo Ligure;Liguria;wild;Sus scrofa;1;1
B21;28/01/2022;8.906972;44.661321;Arquata Scrivia;Piemonte;wild;Sus scrofa;1;1
B22;28/01/2022;8.694007;44.675971;Silvano d' Orba;Piemonte;wild;Sus scrofa;1;1
B23;28/01/2022;8.900037;44.551445;Mignanego;Liguria;wild;Sus scrofa;1;1
B24;28/01/2022;8.905091;44.63775;Isola Del Cantone;Liguria;wild;Sus scrofa;1;1
B25;28/01/2022;8.944297;44.432722;Genova;Liguria;wild;Sus scrofa;1;1
B26;28/01/2022;8.905185;44.645112;Isola Del Cantone;Liguria;wild;Sus scrofa;1;1
B27;04/02/2022;8.733926;44.559092;Rossiglione;Liguria;wild;Sus scrofa;1;1
B28;04/02/2022;8.909537;44.537099;Mignanego;Liguria;wild;Sus scrofa;1;1
B29;04/02/2022;8.913969;44.540151;Mignanego;Liguria;wild;Sus scrofa;1;1
B30;11/02/2022;8.928037;44.552591;Mignanego;Liguria;wild;Sus scrofa;1;1
B31;11/02/2022;8.634552;44.669397;Rocca Grimalda;Piemonte;wild;Sus scrofa;1;1
B32;11/02/2022;8.730982;44.663534;Montaldeo;Piemonte;wild;Sus scrofa;1;1
B33;11/02/2022;8.898732;44.665564;Arquata Scrivia;Piemonte;wild;Sus scrofa;1;1
